country,year,coffee_val,land_cov,disaster,temp_chan,corrupt_control,govern_eff,pol_stab,reg_qual,rule_law,voice,energy,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Kenya,2002,152,99.8568322495754,5,0.734,-1.00375056266785,-0.756493151187897,-1.18801403045654,-0.17692106962204,-0.966853559017181,-0.679399788379669,586.26,66448.703125,69826.375,33.751739,14.6355018615723,,1.979820728302,65202.98046875,72045.0625,65971.25,69119.9609375,135276.046875,0.00212209695018828,0.345592349767685,0.342961013317108,95774.75,90362.21875,96435.2734375,216807.421875,0.41653847694397,0.963324785232544,0.885650932788849,0.588638842105866,0.123533755540848,0.045118935406208,78.7491416666667,0.216403543949127,0.228770449757576,0.218349009752274,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.839103162288666,0.098988488316536,0.104227535426617,0.0454343147575855,-0.106621265411377,0.0188677329570055,0.207002311944962,0.346623361110687,0.292089968919754,0.445918917655945,0.417202055454254,0.236733391880989,0.722247838973999
Lao PDR,2002,0,97.1073838900864,1,0.664,-0.673779785633087,-0.859748542308807,-0.103369668126106,-1.20396292209625,-1.25275146961212,-1.7388927936554,586.26,12781.578125,13967.845703125,5.493246,2.65044474601746,,1.71481537818909,10900.634765625,14012.6298828125,12563.2333984375,13555.57421875,26514.814453125,0.000538784719537944,0.393459320068359,0.387241125106812,17053.3984375,14854.5322265625,16572.115234375,32108.806640625,0.210385337471962,0.992061018943787,0.923612296581268,0.420683652162552,0.200074046850205,0.0669178888201714,10056.3333333333,0.142796024680138,0.151781603693962,0.140670374035835,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.575319409370422,0.229573085904121,0.228824689984322,0.0822801738977432,-0.117007710039616,0.00101039360743016,0.177821755409241,0.18325611948967,0.0547330603003502,0.434428542852402,0.445405334234238,0.137218788266182,0.506167829036713
Madagascar,2002,0,97.216953207276,4,0.58,0.00122348207514733,-0.324264049530029,-0.22530834376812,-0.297508209943771,-0.209681615233421,-0.153443366289139,586.26,19820.9765625,19542.888671875,16.765117,7.62127590179443,,1.55894494056702,17296.52734375,18833.4296875,19498.1015625,19266.1953125,44597.7890625,,,,24339.404296875,25305.626953125,23851.099609375,41777.57421875,,,,,,0.0484924502670765,1366.39116666667,0.249712958931923,0.261815905570984,0.264967352151871,Interpolated,Benchmark,Market-based,Regular,,,,0.770666778087616,0.0797719210386276,0.127098798751831,0.0772975012660027,-0.0760934427380562,0.0212584771215916,0.246413230895996,0.398024260997772,0.269720941781998,0.448180794715881,0.410594671964645,0.285650819540024,
Malawi,2002,1,101.614073475831,3,0.963,-1.02161753177643,-0.765085935592651,0.00812013912945986,-0.53240829706192,-0.390916764736176,-0.58310067653656,586.26,11414.240234375,11867.7783203125,11.713664,4.42319393157959,,1.5992237329483,11705.7265625,12785.3876953125,11504.26171875,11889.607421875,26497.701171875,,,,9388.3408203125,11054.1826171875,10045.25,12273.6962890625,,,,,,0.0500492341816425,76.6866083333333,0.28446888923645,0.303852796554565,0.294004827737808,Interpolated,Benchmark,Market-based,Regular,,,,0.857898771762848,0.0908071100711823,0.12663559615612,0.0691436976194382,-0.123946905136108,-0.0205382704734802,0.291617512702942,0.514013886451721,0.236040100455284,0.459215760231018,0.47160679101944,0.205536052584648,
Mexico,2002,170,99.4597930845194,7,0.73,-0.250572264194489,0.218386545777321,-0.0583082623779774,0.438464432954788,-0.349208414554596,0.346043467521667,586.26,1463117,1450549.75,101.684758,39.608757019043,2196,2.45659756660461,1222615.625,1480798.375,1449093.875,1424726.125,4139970.5,0.0619269572198391,0.724529087543488,0.716968238353729,1675228.375,1394160.25,1706938.25,6876886,0.656322777271271,1.05759584903717,1.06016051769257,0.404511511325836,0.131110906600952,0.0353306233882904,9.65595833333333,0.51457816362381,0.53282243013382,0.541935563087463,Benchmark,Benchmark,Market-based,Regular,Regular,,,0.722202360630035,0.181215733289719,0.135938405990601,0.23321045935154,-0.261049389839172,-0.0115176122635603,0.533562302589417,0.61921751499176,0.413720697164536,0.484558790922165,0.454394072294235,0.625492215156555,1.83293104171753
Myanmar,2002,0,104.268024135191,1,0.676,-1.30302631855011,-1.337557554245,-1.40995764732361,-2.05980396270752,-1.71623635292053,-2.01282620429993,586.26,64343.125,63228.97265625,47.702171,19.4219589233398,2444.78778434959,1.5525553226471,57010.7109375,64283.9375,64307.17578125,63142.58984375,46656.3046875,,,,66217.65625,55145.75,57703.4921875,44253.8671875,,,,,,0.0871843174099922,542.5,0.192633599042893,0.191217467188835,0.194744244217873,Extrapolated,Benchmark,Estimated,Regular,,,,0.814212024211884,0.115187354385853,0.0886763632297516,0.114548310637474,-0.102353066205978,-0.0302709732204676,0.191563874483109,0.180117160081863,0.202455699443817,0.423466444015503,0.415638715028763,0.146575435996056,
Nepal,2002,0,104.403526601502,2,0.551,-0.463561415672302,-0.598195910453796,-1.71746289730072,-0.590202867984772,-0.517511367797852,-0.798159539699554,586.26,33082.04296875,33798.2890625,24.725627,10.3273696899414,,1.40617382526398,30038.716796875,37481.125,33841.05078125,34377.140625,109171.09375,,,,48124.6796875,41136.13671875,42577.625,131408.671875,,,,,,0.0298460237681866,77.8766191666667,0.177762731909752,0.174333438277245,0.171614825725555,Interpolated,Benchmark,Market-based,Regular,,,,0.741795837879181,0.216492965817452,0.132003337144852,0.0388086065649986,-0.0429422408342362,-0.0861585363745689,0.189966082572937,0.160492330789566,0.109185695648193,0.425386160612106,0.469983130693436,0.122714318335056,
Nicaragua,2002,335,104.641953327418,3,0.79,-0.479136645793915,-0.877977848052979,-0.0931836739182472,-0.489535063505173,-0.677636325359344,-0.0547769628465176,586.26,19511.42578125,20739.279296875,5.219328,1.73456680774689,,1.93548738956451,19168.1875,23545.8046875,19286.48046875,20357.294921875,72459.4921875,0.000976091250777245,0.482162326574326,0.53096616268158,19656.90234375,19514.466796875,22829.767578125,75066.0859375,0.546775043010712,0.968766868114471,1.00058698654175,0.540404677391052,0.0868874043226242,0.0344256833195686,14.25132525,0.266550064086914,0.269946247339249,0.255746811628342,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.802100300788879,0.215039193630219,0.139487862586975,0.126989111304283,-0.287180542945862,0.00356408837251365,0.266920119524002,0.284817099571228,0.264421999454498,0.438916385173798,0.393931657075882,0.264242321252823,0.605186104774475
Panama,2002,0,105.664082359759,2,0.883,-0.335230827331543,-0.0281212031841278,0.345927983522415,0.520487427711487,-0.0883368402719498,0.619423806667328,586.26,32025.119140625,32624.294921875,3.149188,1.04949998855591,,2.62137746810913,25056.3828125,30232.6875,32396.505859375,33918.98046875,66433.109375,0.00104625546373427,0.876305222511292,0.743651747703552,43735.171875,37805.56640625,44390.5390625,108676.3828125,0.261480152606964,1.08238399028778,1.07344818115234,0.438731163740158,0.25545072555542,0.0502080991864204,1,0.387306481599808,0.384927749633789,0.367650002241135,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.571492075920105,0.152607902884483,0.167220681905747,0.0546576306223869,-0.192102253437042,0.24612395465374,0.40678009390831,0.373413115739822,0.32075360417366,0.430775612592697,0.465776294469833,0.342618584632874,1.65152072906494
Peru,2002,160,101.53623829006,5,0.754,-0.306404739618301,-0.391418874263763,-0.969909846782684,-0.039765790104866,-0.557922065258026,0.222937241196632,586.26,149831,148092.984375,27.100968,11.7225522994995,2098.30816906557,2.67401123046875,121152.8671875,152207.90625,151150.5,149425.40625,553593.5625,0.00793903041630983,0.39079675078392,0.379003703594208,172385.140625,132153.75,154256.03125,551470.375,0.399065464735031,0.914634108543396,0.82104617357254,0.430306047201157,0.173767149448395,0.0362186655402184,3.5165,0.374186038970947,0.362527698278427,0.366713047027588,Interpolated,Benchmark,Market-based,Regular,Regular,,,0.687804698944092,0.207829684019089,0.122986949980259,0.110797561705113,-0.119280457496643,-0.0101383784785867,0.381566613912582,0.317045837640762,0.332910180091858,0.462987869977951,0.420399516820908,0.248153671622276,0.970729947090149
