Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Московская область,2011,6.05413251840533,2231779.38486334,64457.0199811499,26251.7615457116,39.2,8.1,32.1,109.7
Мурманская область,2011,15.7725888324873,270475.369707823,72544.2644674835,25942.1332704995,42.8,8.5,38.2,99.5
Нижегородская область ,2011,6.83706399757355,790243.126484449,69654.0588124411,18800.1777568332,50.1,17.7,28.2,107.7
Новгородская область,2011,6.44793650793651,157294.95726673,61766.739868049,17409.9262959472,45.3,7.5,34.1,110.9
Новосибирская область ,2011,6.13982136211388,613682.728840716,53662.0659754948,18704.8286522149,41.3,8.2,27,105
Омская область,2011,5.27058227848101,462821.272987747,46075.1479736098,17683.6704995287,39.6,7.1,30.2,104
Оренбургская область,2011,8.23932806324111,567297.337436381,58988.287464656,15268.1598491989,58.2,15.2,27,102.5
Орловская область,2011,3.48489116517286,134512.160188501,44589.5474081056,15198.4422243167,46.2,10.7,26.8,107.8
Пензенская область,2011,3.23943355119826,218791.54133836,42707.1715362865,14528.9479736098,55.1,11,39.1,115.4
Пермский край,2011,9.61018624097302,861321.372836946,56391.3059377945,21845.1975494816,59.2,13.6,32.7,116.4
Приморский край,2011,6.39210661199385,563608.352346843,161570.595664468,19643.9660697455,27,11.5,25,121
Псковская область,2011,3.19640179910045,103037.01065033,38127.3387370405,14543.301602262,39.2,10,37.4,116.3
Республика Адыгея,2011,3.17200902934537,58238.1053157399,43463.8128180961,14632.4991517436,46.5,9.7,22.5,107.2
Республика Алтай,2011,2.60622009569378,27047.1576248822,72096.2262016965,14186.5114043355,23.8,22.1,32.1,108.1
Республика Башкортостан,2011,6.21272145669291,964793.093383601,47507.435061263,19510.6823751178,51,13.5,20.3,109.8
Республика Бурятия,2011,5.48187435633368,157504.520245052,42999.370405278,16111.9481621112,26.2,11.8,30.3,114.2
Республика Дагестан,2011,1.36294779938588,338666.486182846,48105.1611687088,18739.687464656,36.9,2.9,30.4,92.3
Республика Ингушетия ,2011,1.42837209302326,27537.3340433553,14803.7174363808,11854.0467483506,61.4,5.9,50,111.4
Республика Калмыкия,2011,1.64843205574913,30059.2665975495,34837.281998115,9052.01338360038,44.9,1.1,25.7,75.4
Республика Карелия,2011,13.22671875,158867.704863337,47399.7828463714,17986.1219604147,37.9,9.2,47.5,101.6
Республика Коми,2011,10.0770786516854,446971.278548539,232124.83204524,24529.3261074458,55.3,6.1,31.5,104.4
Республика Марий Эл,2011,4.61242774566474,99781.6076720076,39684.7074458059,11614.1360980207,60.3,8.6,32.3,107.3
Республика Мордовия,2011,4.07575757575758,122985.171121583,60169.3860508954,12249.796795476,57.2,12.4,25.8,103.2
Республика Саха (Якутия),2011,7.12667364016737,499127.853930255,203978.391517436,26264.0646559849,40.1,8.1,36,116.1
Республика Северная Осетия – Алания,2011,3.08730606488011,88045.8758341188,28744.1666352498,14104.49066918,40.6,5.4,39,109.7
Республика Татарстан,2011,6.92569024454378,1338934.16267672,106317.327426956,20733.8165881244,42.3,18.1,24.7,106.3
Республика Тыва,2011,2.27605177993528,34242.5291423186,26961.2409048068,11239.9164938737,42.7,6.8,32.3,96.4
Республика Хакасия,2011,31.2580827067669,115944.613741753,67778.8597549482,14582.2614514609,27.3,5.6,29.6,113.3
Ростовская область,2011,4.06584507042254,785314.91061263,39871.3046182846,16414.3996229972,38.4,6.6,25.5,119.3
Рязанская область,2011,5.37142857142857,219551.668501414,47390.5555136664,15161.5328934967,50.4,8.4,25.8,109.7
Самарская область,2011,7.64060360920971,855219.235193214,58228.570405278,22305.5389255419,52.8,9.8,27.8,105.8
Саратовская область,2011,5.47385412514946,441915.417907634,41354.85466541,13427.819604147,52.8,5.5,30.4,120.5
Сахалинская область,2011,8.05575757575758,615409.675419416,363792.718190386,33083.0635249764,23.5,4.3,40.3,103.3
Свердловская область ,2011,11.8970977478523,1323629.19602262,79460.6629594722,25521.7770028275,54.8,13.6,28.8,106.2
Смоленская область,2011,6.11131498470948,185378.65193214,59396.3406220547,16372.36399623,42.5,6.6,31.9,102.7
Ставропольский край,2011,3.76045927520632,406814.234194156,36157.8158341188,14804.7426955702,49.8,5.8,23.1,111.9
Тамбовская область,2011,3.15702402957486,177660.09065033,64474.4493873704,15533.7019792648,57.5,5.9,28.4,116.4
Тверская область,2011,5.39411326378539,261515.937229029,71803.0020735156,15320.4480678605,44.2,7.8,37.2,105.9
Томская область,2011,8.71729678638941,342319.382148916,98225.9819038643,16933.1807728558,46.4,15.7,31.5,107
Тульская область,2011,6.22446601941748,286948.824260132,51482.364938737,17403.7747408106,45.9,11,35.9,120
Тюменская область,2011,26.6529479768786,4216476.84147031,387825.818850141,31481.608671065,59,9.8,31.3,99.9
Удмуртская Республика,2011,5.79130434782609,344470.683506126,42051.0056550424,14817.0458058435,60.8,15.1,35.1,110.1
Ульяновская область,2011,4.58198127925117,229322.491102733,47207.0341187559,14673.5095193214,46.2,8,28.9,112.1
Хабаровский край ,2011,6.24008941877794,409687.625598492,137833.794910462,24366.3098963242,28.7,15.5,33.7,116.9
Челябинская область,2011,10.4603448275862,793961.741564562,52059.585862394,18926.2846371348,44.8,10.9,32.7,107.5
Чеченская Республика ,2011,1.78794162826421,88811.0267672008,41079.0599434496,14380.2853911404,56.2,0.8,47.1,97.3
Чувашская Республика,2011,4.13063352044908,193554.273760603,45915.2075400566,12388.2067860509,54.4,15.2,28.5,111.7
Чукотский автономный округ,2011,9.51176470588235,45888.1406974552,188218.107257304,44136.3828463714,40.8,12.5,48,87.1
Ярославская область,2011,5.88457907159717,294216.066446748,64842.5174363808,15900.7447690858,46,12,34,111.3
Алтайский край,2012,4.63368070029179,376647.253973914,35618.6365768978,13899.3831284602,38.2,10.5,25,104.4
Амурская область,2012,9.19461444308446,234164.439692221,140897.50680304,22252.0784460918,25.9,7.8,30.8,108.6
Архангельская область,2012,7.9481697171381,482268.785793375,137331.049826405,23621.9082293328,38.4,8.2,38,95.1
Астраханская область,2012,4.27228796844182,214002.11721873,82174.4759313128,18157.9001595196,47.5,5.8,36.5,118.7
Белгородская область,2012,9.93672939649578,556829.88660974,90773.1689969035,22108.1544524726,41.9,9.2,21.9,105.6
Брянская область,2012,3.29122807017544,211698.414657033,37740.7499296237,17831.264145632,46,8.9,33.2,115.7
Владимирская область,2012,4.97756680731364,291949.923130337,43647.758093272,16565.5495918176,43.2,12.8,26,103.4
Волгоградская область,2012,7.26550522648084,583367.939926809,53681.6081448813,16343.0288073567,51.3,7.1,31.7,104.8
Вологодская область,2012,12.0447324414716,362659.168752932,128744.605611335,18626.4186919396,40.9,7.3,30.7,101.3
Воронежская область,2012,4.51111587982833,575660.656957868,79845.1528572769,19340.9349723187,44.7,9,23.2,129.7
г. Москва,2012,4.4721285475793,10888075.1899221,104496.985267899,49949.7916862156,33.7,18.6,29.8,100.4
г. Санкт-Петербург,2012,4.89757358790772,2327716.43314254,72019.158112039,28411.2087829596,39.2,18.8,23.9,104.7
Еврейская автономная область,2012,6.90867052023121,43629.9972600169,146727.959650934,18832.6076757061,22.6,9,42.2,104.1
Забайкальский край,2012,7.10648401826484,228613.362709956,62880.4948859904,17909.8609364737,30.6,2.3,35.7,106.6
Ивановская область,2012,3.39799809342231,138937.690719715,27920.2340245848,16347.1117575303,39.3,8.5,38.9,104.6
Иркутская область,2012,23.9353014037985,753275.318082012,74829.2485690157,18189.5430233649,33.6,6.9,26.4,112.9
Кабардино-Балкарская Республика,2012,1.75832363213038,108924.128141128,30482.2852585155,14001.4568828,35.1,9.4,37.1,122.4
