Регион,Год,ПотрЭлектр/душ,ВРП,ИнвесВОК,СрДушДох,ИзносОФ,УрИнАк,УбыточОрг,ИндПроиз
Кабардино-Балкарская Республика,2016,1.86011560693642,157891.295417022,43320.0170794193,20402.830059778,36.7,2.4,42.5,75.9
Калининградская область,2016,4.53286004056795,430511.2745232,94094.3387418161,26488.4822089382,42.5,4.8,35.5,101.6
Калужская область,2016,7.08491124260355,422633.162482209,86112.5972103615,29726.3877028181,39.7,8.5,31.4,107
Камчатский край,2016,5.65333333333333,231299.164816396,122052.62567606,45259.4574437802,37.8,12.7,26.6,110.1
Карачаево-Черкесская Республика,2016,2.91781115879828,81046.8285226302,45419.4432109308,18205.3481354967,35.3,0.8,25,99.7
Кемеровская область,2016,12.9453672942045,932406.237233134,63022.0062624537,22031.5883859949,49.6,3.2,36.5,103.6
Кировская область,2016,5.67445820433437,323619.003358952,45447.3116994022,22002.6877312838,52.2,9.6,28.6,103.9
Костромская область,2016,5.73487654320988,175700.601366354,41981.2974665528,23919.4204383718,48.6,8.6,31.8,100.1
Краснодарский край,2016,4.22538143959792,2329676.09934529,81028.146313692,33913.8861372047,35.2,9.1,27.4,101.9
Красноярский край,2016,18.8693217391304,1880503.56885853,153134.24765158,28781.9555935098,41.8,7.1,30.5,98.7
Курганская область,2016,5.03255269320843,208601.209906063,35191.70794193,20823.9538855679,55,4.6,34.3,101.5
Курская область,2016,8.40276046304541,391202.668317677,86201.3635069741,26170.5750071164,51.5,6.5,27.5,106
Ленинградская область,2016,11.0452566964286,984344.223114148,152746.15314546,29441.5098206661,43,8.5,25.8,104.1
Липецкая область,2016,10.9321799307958,517387.261884429,114175.132934814,28832.5317392542,55.7,19.2,25.6,100.7
Магаданская область,2016,14.9424657534247,158829.534528893,295582.47822374,53019.2832337034,40.7,12.2,34.5,101.9
Московская область,2016,5.92216085140779,4341813.48021634,86982.7133504128,42603.6937090806,41.9,8.5,25.4,106.1
Мурманская область,2016,16.3163804491414,482028.343011671,116126.959294051,38560.6985482494,43,7.2,43.5,102.2
Нижегородская область ,2016,6.98586822660099,1324012.99863365,73593.4528892684,31023.8206660974,52.1,12.8,31.1,102.5
Новгородская область,2016,7.37161500815661,261196.685681753,132346.419584401,26098.3233703387,47.6,7.3,34.3,106.4
Новосибирская область ,2016,5.80068345323741,1109366.80392827,60739.8867065187,27644.5083973812,49.1,7.6,32.1,101.6
Омская область,2016,5.50552458185504,691015.067008255,48825.5918018787,25507.9242812411,46.5,7.6,27.2,99.1
Оренбургская область,2016,7.91743718592965,840973.339140336,86668.9348135497,22857.3213777398,61.1,7.1,33.6,95.5
Орловская область,2016,3.58940397350993,235935.758781668,59421.8104184458,23746.0165101053,50.7,7.4,30,98.2
Пензенская область,2016,3.50149031296572,369782.01912895,49835.0503842869,21291.5251921435,51.5,20.1,38.3,104.6
Пермский край,2016,9.92116261398176,1184549.07031028,93834.2328494165,28641.5809849132,63.5,7.9,30.5,99.7
Приморский край,2016,6.85304212168487,888492.414916026,69934.4235695986,32270.6774836322,36.7,4.2,30.8,106
Псковская область,2016,3.14080996884735,164327.161571307,43691.5969257045,22740.6865926559,47.4,7.9,37.4,105.4
Республика Адыгея,2016,3.19691629955947,104354.793680615,43652.3746085966,25887.7614574438,53.4,4.2,17.5,111.2
Республика Алтай,2016,2.49723502304147,48960.702362653,60001.8878451466,18509.8371762027,39.9,6.2,33.9,90.3
Республика Башкортостан,2016,6.67206786328989,1467242.47583262,90078.1799032166,28744.7976088813,53.5,7.3,27.7,100.1
Республика Бурятия,2016,5.72632113821138,227865.767036721,35110.1668089952,24486.0797039567,36.1,6.4,33.7,88.9
Республика Дагестан,2016,2.08251150558843,637453.070765727,68005.3048676345,26494.6752063763,46.9,2.5,26.9,116.6
Республика Ингушетия ,2016,1.48731808731809,60011.6934244236,44679.3800170794,16245.2644463422,55.6,7.06391133366115,37.3,101
Республика Калмыкия,2016,1.76223021582734,71801.8187304298,33898.4036436095,16200.8812980359,45.8,2,50,114.9
Республика Карелия,2016,12.7076555023923,256122.143580985,56988.9945915172,27091.267292912,49.6,6.4,42.6,103
Республика Коми,2016,10.6963529411765,597262.065641902,242127.620836892,32745.4739538856,45,4.5,39.4,98.9
Республика Крым,2016,2.96982217573222,374337.484827783,40426.8551095929,18398.3632223171,73.3,2.8,40,120.2
Республика Марий Эл,2016,3.78,176387.404782237,41067.830344435,19465.6231141475,63.3,5.9,33.6,94.6
Республика Мордовия,2016,4.1335396039604,230480.450555081,67230.1480216339,18405.5883859949,59.8,13.4,31,102.3
Республика Саха (Якутия),2016,8.38026998961578,918059.539368062,295903.481924281,40113.0765727299,41.2,7.6,33.2,100.8
Республика Северная Осетия – Алания,2016,2.53726884779516,153596.761343581,37461.4415029889,22934.7338457159,52.6,3.8,37.4,94.1
Республика Татарстан,2016,7.43557271557272,2124342.52132081,169452.795900939,33816.8625106746,45.2,21.3,24.6,103.4
Республика Тыва,2016,2.56603773584906,59866.7772843723,34634.3381725021,15444.3034443496,42.5,2.4,33.1,142.5
Республика Хакасия,2016,32.0741154562384,214424.898263592,52329.7961855964,20256.2624537432,35.3,2.1,33,106
Ростовская область,2016,4.42389506026944,1419339.43421577,71794.3871335041,27512.391118702,42.1,8.4,26.6,111.8
Рязанская область,2016,5.75829636202307,377990.940449758,46551.7295758611,24564.5243381725,57.1,12.3,28,98.6
Самарская область,2016,7.74423977521074,1408723.3980074,82699.2234557359,27823.073156846,55.1,3.9,26.8,99.8
Саратовская область,2016,5.60774505849133,723392.264047822,58743.6771989752,20441.0202106462,56.2,4.8,27.5,100.7
Сахалинская область,2016,9.4735112936345,787037.389069172,508356.323370339,51059.1995445488,45.1,3.3,27.6,105.9
Свердловская область ,2016,10.6067683067683,2177477.6136066,78288.7771135781,35834.7475092514,57.1,9.4,29.5,100.6
Смоленская область,2016,6.61804826862539,292851.882436664,63413.1972672929,24373.5735838315,52.4,6.9,32.5,96.7
Ставропольский край,2016,3.66055634807418,735515.985482494,45273.9077711358,21660.0085397096,51.5,4.9,22.8,106.2
Тамбовская область,2016,3.43625,330936.649131796,103713.095929405,26597.8918303444,60.4,10.6,25.1,103.3
Тверская область,2016,6.55543562066307,410223.014916026,74135.3401651011,24837.0162254483,47.7,7.9,36.7,104.4
Томская область,2016,8.35718257645969,537803.510105323,99963.2359806433,27006.6296612582,57.7,12.2,24.1,99.8
Тульская область,2016,6.60607071380921,570074.084372331,77303.0583546826,27677.537717051,46,10.9,31.4,104.3
Тюменская область,2016,26.7872677595628,6323010.95553658,604953.665243382,44029.1152860803,63.5,9.2,30.9,102.1
Удмуртская Республика,2016,6.34983520105471,588597.752576146,59282.4679760888,24380.7987475093,64.6,7.6,29.8,105.7
Ульяновская область,2016,4.43806863527534,378758.252832337,58032.5146598349,23344.5038428693,48.3,3.6,43.2,101.7
Хабаровский край ,2016,6.49122280570143,694297.355650441,92924.8943922573,37741.1585539425,37.5,8.5,33.5,108.4
Челябинская область,2016,10.356339234723,1375631.32263023,58450.5419869058,24417.9567321378,49.8,7,31,98.3
Чеченская Республика ,2016,1.86353356890459,208120.633304868,44492.5579276971,23594.2880728722,51.9,0.3,31.3,102.6
Чувашская Республика,2016,4.0703074433657,293815.51283803,41862.5983489895,18213.6054654142,59.2,24.5,30.5,104.4
Чукотский автономный округ,2016,13.546,74495.6693993738,263391.277540564,69883.8474238543,51.1,7.2,45.2,91.7
Ярославская область,2016,6.79472856018883,514927.403302021,71740.7144890407,27629.0259037859,53,7.1,32.8,113
Алтайский край,2017,4.54523404255319,578656.329528826,39534.7544629792,23493.1267193445,51.4,16.304347826087,28.2,103.7
Амурская область,2017,10.3847117794486,317480.335381914,255273.795727246,30999.8062628036,40,8.07291666666667,36.1,105.3
Архангельская область,2017,8.70207792207792,805643.186713492,197066.786069652,34286.2335381914,48.1,8.27205882352941,36.4,104
Астраханская область,2017,4.24464110127827,469680.862979222,152850.172666081,24283.6944688323,50.1,11.3636363636364,47.5,152.6
Белгородская область,2017,9.40432258064516,888520.473163594,97603.8127011999,32197.8612818262,47.6,19.7781885397412,27.8,105
Брянская область,2017,3.2204789430223,362045.859760023,48112.1492537313,26642.6637401229,45.5,9.48275862068966,36.4,104.1
Владимирская область,2017,5.1600145137881,477364.120339479,60210.4887328066,24994.6748609892,48.4,15.3179190751445,31.4,103.1
Волгоградская область,2017,5.26362554541849,902269.878899619,80464.9405911618,23384.8879133743,51.3,10.0584795321637,35.2,104.3
Вологодская область,2017,12.7091758708581,575855.279016681,124327.124963418,27505.3906935909,50.5,8.62068965517242,30.5,102.4
Воронежская область,2017,4.85833690527218,926852.503482587,128931.518876207,31302.2382206614,40.4,18.5567010309278,26.4,106
г. Москва,2017,4.52829615415367,17549743.9645888,171213.628914252,69475.5182908984,37,32.4214792299899,33.9,100.7
г. Санкт-Петербург,2017,5.26989910313901,4545007.20626281,134197.018437226,44927.5937957272,38.3,30.6044376434583,28.1,105.4
г. Севастополь,2017,3.10778032036613,107475.72238806,121420.59467369,29850.5648229441,46.4,10.6382978723404,50.6,100.5
Еврейская автономная область,2017,7.65617283950617,58648.4541995903,71834.4875621891,25127.3204565408,36.6,7.5,47.4,160.4
Забайкальский край,2017,7.37968313140727,325349.40269242,95006.0813579163,24103.2964588821,36.5,6.41025641025641,41.6,103.7
Ивановская область,2017,3.46955665024631,225460.053321627,31571.7740708224,26380.5560433128,48.3,9.03614457831325,39.1,100
Иркутская область,2017,22.433153078203,1345887.68633304,119064.808896693,24944.8001170618,48.3,9.5944609297725,28.3,104.7
Кабардино-Балкарская Республика,2017,1.87849710982659,164715.904828797,42718.2487562189,21689.146619842,40.4,11.25,40.2,100.4
Калининградская область,2017,4.45929648241206,473998.530172666,139710.830553117,28081.6031606673,38.5,7.60667903525046,36.8,101.8
Калужская область,2017,8.05780632411067,485008.008486977,93229.6915422886,30471.3462101258,41.9,17.4774774774775,30.8,119.8
Камчатский край,2017,5.73006329113924,242122.993034826,131346.729880012,48091.9871232075,39.1,25.4054054054054,31.9,105.7
Карачаево-Черкесская Республика,2017,2.89399141630901,87827.9384255195,47856.4085455078,19028.806555458,37.6,8.84955752212389,24.9,105.6
Кемеровская область,2017,13.2357699443414,1165011.40942347,84534.5074626866,23495.2490488733,50.5,11.7424242424242,35,103.6
Кировская область,2017,5.73125487139517,352046.079719052,47690.8668422593,23128.0860403863,53.1,11.3871635610766,28.6,101
Костромская область,2017,5.77636080870918,189402.629675154,35559.6312554873,25566.6426690079,50.6,6.51162790697674,42.9,107
Краснодарский край,2017,4.14652864536855,2570939.79812701,95580.1714954639,35446.0866256951,37.2,12.6310772163966,29.9,104.5
Красноярский край,2017,18.3693324061196,2097939.82399766,155301.463271876,30581.7073456248,41.4,13.6290322580645,32,103.9
Курганская область,2017,5.15307328605201,222829.213637694,28533.6593503073,21923.6640327773,57.6,9.1710758377425,33.1,101.9
Курская область,2017,8.27372197309417,429516.837810945,95674.6151594966,27709.1343283582,50.5,10.6334841628959,31.5,103.2
Ленинградская область,2017,10.9331312017641,1063863.62475856,198754.038045069,31482.6362306116,45.2,15.4398563734291,29.8,100.5
Липецкая область,2017,11.1211304347826,554210.489083992,131040.053263096,30727.0869183494,55.8,29.0909090909091,30.5,102.9
Магаданская область,2017,15.5833333333333,171750.790517998,321591.287679251,58203.8261633011,42.3,10.8433734939759,38.3,107.7
Московская область,2017,6.2854724776756,4552674.01556921,99516.0316066725,44935.0219490781,45,18.8169738534076,30.2,108
Мурманская область,2017,16.9722811671088,508672.301082821,159078.148668423,41675.1237928007,43.1,16.1931818181818,42.9,111.6
Нижегородская область ,2017,7.06497681607419,1472812.7548727,80299.3988879134,32180.8826455956,55.2,20.1310861423221,28.5,104.8
Новгородская область,2017,7.37095709570957,271834.120807726,123321.140766754,27332.4208369915,46.9,15.3061224489796,35.2,105.4
Новосибирская область ,2017,5.78608820365723,1251711.96640328,66930.8451858355,29392.1416447176,49.7,12.8256513026052,30.8,101.8
Омская область,2017,5.51372448979592,742514.494878548,53241.8197249049,26218.1978343576,49.2,10.559796437659,24,99.4
Оренбургская область,2017,8.0169868554095,926245.198887913,98900.5560433128,24311.2847527071,62.8,9.34579439252337,40.1,101.4
Орловская область,2017,3.67751004016064,245254.702487562,61702.4863915716,25445.6698858648,50.3,11.0481586402266,33,96.4
Пензенская область,2017,3.59489489489489,399078.812174422,57203.1477904595,22670.7240269242,51.8,24.5045045045045,37.9,109.1
Пермский край,2017,10.1543271063668,1322027.60883816,99000.3055311677,30073.4094234709,64.1,13.3574007220217,28.7,102.5
Приморский край,2017,6.89095661265029,961696.485220954,72438.2903131402,34242.7257828505,40.6,9.12408759124088,32.5,118.7
Псковская область,2017,3.35220125786164,176002.771612526,48575.8782557799,24709.221539362,46.6,12.621359223301,41.7,107.1
Республика Адыгея,2017,3.15991189427313,116425.161545215,48789.172373427,28097.5206321334,55.4,12.5,18.4,102.7
Республика Алтай,2017,2.55321100917431,51376.5043020193,60733.6429616623,19720.6859818554,36,8.54700854700855,27.1,109.9
Республика Башкортостан,2017,6.87236032488309,1578898.77588528,72723.7436347673,30209.2385133158,54.5,14.0107775211701,27.9,104.2
Республика Бурятия,2017,6.36700507614213,238331.345215101,45509.1120866257,25319.3912788996,37.7,9.42760942760943,33,101.3
Республика Дагестан,2017,2.08655352480418,678628.980333626,65120.4980977466,28102.8264559555,49.4,9.09090909090909,23,103.2
Республика Ингушетия ,2017,1.50430327868852,64578.0306701785,46451.4263974246,16767.4644424934,53.5,14.2857142857143,32.3,110.4
Республика Калмыкия,2017,1.83418181818182,85027.8429616623,43054.6379865379,17255.6002341235,49.8,5.83333333333333,35.3,103.3
Республика Карелия,2017,12.7430868167203,287366.071115013,70600.3529411765,29153.3795727246,52.8,9.52380952380952,43.9,103.7
Республика Коми,2017,10.8001189060642,645797.815920398,168328.321919813,34286.2335381914,47.1,8.83882149046794,43.2,95.8
Республика Крым,2017,3.06222570532915,408530.818964004,108833.058238221,21030.1633011414,68.5,8.68113522537563,42.2,102
Республика Марий Эл,2017,4.05542521994135,189092.345098039,37306.3084577114,20513.3760608721,65.3,10.2893890675241,34.1,106.5
Республика Мордовия,2017,4.28534161490683,250531.238162131,76989.6259877085,19371.5627743635,63.4,18.9333333333333,28.3,109.6
Республика Саха (Якутия),2017,8.43288381742739,999648.618554287,425961.086918349,43034.4758560141,45,11.4285714285714,31.2,102.5
Республика Северная Осетия – Алания,2017,2.07763532763533,161855.641322798,41144.5414105941,24090.5624817091,54.9,11.2903225806452,40.5,83.1
Республика Татарстан,2017,7.56739409499358,2403172.93848405,173946.128182616,34419.9402985075,45.2,31.7397078353254,28.9,101.5
Республика Тыва,2017,2.5472049689441,69016.9889961955,33108.3406496927,15929.144278607,42.5,1.77514792899408,14.5,114.4
Республика Хакасия,2017,32.4881040892193,231491.395493123,47063.7184664911,21489.6476441323,40.6,7.02341137123746,36.3,99.3
Ростовская область,2017,4.44513148542999,1529905.96599356,81335.0956979807,29437.7717295874,43.2,14.5737855178735,30,107
Рязанская область,2017,5.80008912655971,419453.918466491,58799.139596137,25756.5911618379,59.1,17.5403225806452,24.8,97.5
Самарская область,2017,7.95280300657689,1537633.79227392,86106.0924787826,28751.198127012,56.3,6.11196712891628,27.9,101.5
Саратовская область,2017,5.68221680876979,773532.234825871,62337.0629206907,21482.2194907814,57.6,11.7948717948718,31,103.2
Сахалинская область,2017,8.9930612244898,832487.365642376,459876.973953761,53590.9429323968,49.2,5.46623794212219,35.6,99.9
Свердловская область ,2017,11.1068901734104,2397729.37547556,78499.6634474685,37363.6113549898,58.5,19.527760051053,30.8,106.5
Смоленская область,2017,6.71778947368421,332798.036523266,64137.8595258999,26280.806555458,55.2,11.6822429906542,32,103.6
Ставропольский край,2017,3.72359871474473,780602.881767632,53033.8314310799,23860.2897278314,53.4,9.34150076569678,24.7,100.4
Тамбовская область,2017,3.48567279767667,340180.135323383,113667.724904887,27651.8314310799,60.6,12.258064516129,29.6,109.7
Тверская область,2017,6.9427570093458,446401.773192859,82851.5001463272,25842.5455077553,50.3,16.2988115449915,38.7,102.8
Томская область,2017,7.83645640074212,588303.272285631,96875.8536728124,28329.9157155399,60.3,19.5876288659794,24.1,98.9
Тульская область,2017,6.63264075067024,630764.400819432,91216.6619841967,28891.2718759145,47.6,16.8855534709193,33.2,103.3
Тюменская область,2017,26.2815276273023,7531160.82680714,661353.960784314,46946.9903424056,63.1,12.661106899166,30.7,102.1
Удмуртская Республика,2017,6.44005287508262,628249.440327773,58633.5978928885,25462.6485220954,65.1,8.97226753670473,27.4,97.7
Ульяновская область,2017,4.5682437850842,397754.160199005,71403.6546678373,24708.1603745976,50.6,8.30860534124629,40.3,106.6
Хабаровский край ,2017,6.54947289156627,740641.008486977,96631.7857769974,39367.0904302019,39.4,15.8536585365854,38.5,109.1
Челябинская область,2017,10.3133409676496,1503260.11875915,60371.7857769974,25169.7670471174,50.9,17.2916666666667,33.1,104.6
Чеченская Республика ,2017,1.86798886569241,229186.015042435,47916.8949370793,23859.228563067,57,0.925925925925926,20.2,100.2
Чувашская Республика,2017,4.13517465475223,314641.507404156,45049.6277436348,19050.0298507463,60.6,28.9972899728997,30.9,103.7
Чукотский автономный округ,2017,13.818,77331.1088088967,267514.331284753,77485.1899326895,46.9,16.6666666666667,48.5,90.2
Ярославская область,2017,7.04620853080569,567245.306467662,71777.1846649107,28863.6815920398,54.9,16.3478260869565,33.8,111.5
Алтайский край,2018,4.59575653664809,604874.080088241,47746.9704584692,23818.709188567,52.2,15.3956834532374,31.6,100.8
Амурская область,2018,10.9850125944584,348651.481220027,329317.729906004,32278.2165739497,41.8,6.25,42.1,97.6
Архангельская область,2018,8.78015734265734,903255.136907731,180029.543640898,35296.6372530213,51.3,6.68604651162791,36.1,98.3
Астраханская область,2018,4.22840236686391,604320.58123921,113271.63533474,24696.1691924036,50.1,10.4225352112676,50,116.3
Белгородская область,2018,9.64780361757106,951118.545578362,90649.6522156148,32112.3234222137,49.5,18.1518151815182,29.4,102.4
Брянская область,2018,3.23133333333333,383074.518875887,50989.7120659889,27737.5436408978,48.8,8.24324324324324,38.2,102.7
Владимирская область,2018,5.25329428989751,500838.519892576,55892.4285440246,24559.4899290236,49.4,13.0061349693252,32.2,104.6
Волгоградская область,2018,6.21208133971292,968035.264972185,75975.9334356417,23802.0155380779,52.4,7.99200799200799,36.7,100.9
Вологодская область,2018,12.6768835616438,642337.970516018,136563.451179743,28151.7548436601,51.9,8.203125,29.4,104.6
Воронежская область,2018,4.96593642611684,992533.823076923,123899.230577403,31602.1237291387,41.3,17.0974155069583,29.5,103.2
г. Москва,2018,4.49455410225922,19591799.6765778,206428.465183196,71350.7488969883,33.8,33.7593184238552,35.4,105.7
г. Санкт-Петербург,2018,5.28716567607727,4992672.92641473,165781.512948398,46949.8486476117,40,28.2914572864322,29.4,104.4
г. Севастополь,2018,4.74198645598194,126940.605025897,101489.048148859,30084.0448877805,42.5,12.6050420168067,47.6,65.5
Еврейская автономная область,2018,8.32375,56943.9198542106,111189.102436217,25766.6495300211,36,7.2463768115942,48.5,114.9
Забайкальский край,2018,7.46763602251407,354571.988701324,87827.3819297909,25032.128908498,37.9,5.55555555555556,41.7,103.8
Ивановская область,2018,3.48057768924303,242572.931210435,30346.9698829848,25565.2823709956,49.9,8.13397129186603,37.9,102.1
Иркутская область,2018,23.2129691409508,1523830.01262229,138530.171877997,25493.2910032611,48.4,8.73080032336297,28,101
Кабардино-Балкарская Республика,2018,1.86385681293303,168582.394494533,42734.7018990984,21682.9652791099,46.5,10.2564102564103,46.2,80.6
Калининградская область,2018,4.43173652694611,514688.61569154,167080.487627086,28651.5210051794,31.6,7.11111111111111,41.6,104.9
Калужская область,2018,8.58513379583746,529639.657740265,94076.0239785152,30391.8340686745,43.5,16.6193181818182,31.4,109.7
Камчатский край,2018,5.90825396825397,274559.739248034,133428.174947247,50871.8131594092,33.6,15.5172413793103,34.5,112.8
Карачаево-Черкесская Республика,2018,3.00107296137339,89454.9085171686,50800.8651448302,18833.5678112411,41.2,6.45161290322581,24.3,94.7
Кемеровская область,2018,13.3181376215408,1321327.99836946,96643.7160943794,24170.319201995,51.3,6.25470987189148,33.7,101
Кировская область,2018,5.87075471698113,368580.674179935,48595.2165739497,23211.4776520238,53.6,12.2965641952984,31.2,103.3
Костромская область,2018,5.81868131868132,200128.594494533,36359.8141185498,24744.1634375599,51.7,5.83153347732181,42.8,97.1
Краснодарский край,2018,4.23298512747875,2608294.72558987,95569.0623441397,35862.1346633417,41.3,8.89411764705882,32.3,101.6
Красноярский край,2018,18.5845511482255,2477702.80186073,153052.604450412,31316.2449645118,43.5,11.1284046692607,31.5,106.4
Курганская область,2018,5.26047904191617,224936.402474583,33719.0872817955,21215.5430654134,58.5,10.7394366197183,38.5,101.2
Курская область,2018,8.00686540198735,470552.794839824,113369.710531364,28457.4573182429,52.4,8.91840607210626,27.2,100.9
Ленинградская область,2018,11.1798701298701,1197398.40621523,291300.02762325,32699.7312488011,44.4,14.1304347826087,32.7,104.9
Липецкая область,2018,11.3708041958042,630598.682486092,116905.634375599,31311.0281987339,57,23.5795454545455,30.8,103.7
Магаданская область,2018,18.0475177304965,184016.822060234,421544.932092845,62365.391521197,36,10.3260869565217,47.7,109.6
Московская область,2018,6.23078036583761,4845994.58373298,130624.685018224,46645.1895261845,45.5,14.0629685157421,32.7,109.8
Мурманская область,2018,16.7811497326203,543640.72674084,216429.005179359,43365.9305582198,44.2,11.6483516483516,47.7,101.5
Нижегородская область ,2018,7.05897356143079,1567279.41143296,83927.3278342605,32769.6359102244,56.4,18.1147540983607,28.3,102.3
Новгородская область,2018,7.30366666666667,270495.357030501,106394.894686361,26388.4880107424,45.9,17.6056338028169,38.6,101
Новосибирская область ,2018,5.95979233798783,1358060.91557644,73683.6865528487,30102.8252445809,49.5,10.1610216546363,32.1,105.2
Омская область,2018,5.7054012345679,767988.052023787,64876.7425666603,26533.514099367,50.8,9.52879581151833,25,104.2
Оренбургская область,2018,8.40494141619969,1104394.32326875,110196.873585268,24398.8135430654,62.1,5.44354838709677,36.5,101.6
Орловская область,2018,3.83378378378378,257818.303184347,67453.8248609246,25974.27680798,51.7,8.56573705179283,29.2,100.1
Пензенская область,2018,3.68641881638847,428848.091175906,68596.2965662766,22749.2722041051,52.1,20.8523592085236,38.3,104.7
Пермский край,2018,10.2213711221754,1484383.33385766,97125.745252254,29952.5823901784,64.7,10.6398274622574,31.3,100.3
Приморский край,2018,7.05141955835962,1007342.03007865,79035.0448877806,36119.8428927681,44.1,9.66981132075472,33.6,96.4
Псковская область,2018,3.37698412698413,188565.528812584,51578.1632457318,24915.2733550739,48.1,13.3704735376045,41.4,100.1
Республика Адыгея,2018,3.17824175824176,125162.52257817,70313.6558603491,28747.509495492,53.2,8.17307692307692,16.1,105.3
Республика Алтай,2018,2.73424657534247,56413.4791099175,70603.7080375983,20348.5165931326,37.6,6.56934306569343,26.2,102.5
Республика Башкортостан,2018,6.83258454702543,1814769.77040092,68901.9990408594,30222.8108574717,55.3,12.4223602484472,28.8,101.1
Республика Бурятия,2018,5.99023397761953,269788.798273547,51459.2209859965,25124.987339344,38,6.80473372781065,34.5,102.4
Республика Дагестан,2018,2.06662346079067,705370.169038941,67862.8192979091,26871.5605217725,51,2.24,20.9,94.8
Республика Ингушетия ,2018,1.53694779116466,70393.1593708038,47346.3228467293,16863.71705352,54.5,10.5263157894737,22.4,111
Республика Калмыкия,2018,1.97573529411765,89840.114502206,47298.328601573,17822.5586034913,49.1,5.63380281690141,39,98.5
Республика Карелия,2018,12.8347896440129,314025.407040092,80936.0343372338,30413.7444849415,52.1,9.18032786885246,44.7,103.9
Республика Коми,2018,11.0436144578313,726426.496412814,170414.000959141,35433.3165164013,49.2,10.6086956521739,48.4,102
Республика Крым,2018,3.19393305439331,456402.31766737,161688.438519087,22457.1333205448,66.3,7.23781388478582,44.2,107.9
Республика Марий Эл,2018,3.97400881057269,201044.032553232,41836.3748321504,20660.4791866488,65.8,8.78552971576227,38.6,96.7
Республика Мордовия,2018,4.38012578616352,256326.412507194,68197.7356608479,19459.5797045847,64.7,16.414686825054,31,107.2
Республика Саха (Якутия),2018,9.28407445708377,1175623.93886438,436039.194130059,44518.8357951276,44.6,8.58895705521472,31.3,107.6
Республика Северная Осетия – Алания,2018,2.09785407725322,168076.576884711,46819.4295031652,24278.8279301746,56.4,9.58904109589041,44.7,93.9
Республика Татарстан,2018,7.93103359835855,2736479.42491847,168622.563591022,35187.0851716862,45.6,21.5319662243667,28.8,102.6
Республика Тыва,2018,2.5283950617284,76875.9298676386,42280.8432764243,16279.4392863994,43,1.98019801980198,17.9,99.5
Республика Хакасия,2018,30.9383612662942,252847.351409937,66614.9689238442,22506.1709188567,40.4,7.35294117647059,39.5,107.5
Ростовская область,2018,4.66709493219129,1615343.24824477,65620.6533665835,30356.360061385,42.2,13.1928181108509,29.7,110.6
Рязанская область,2018,6.04640933572711,434226.055016305,58562.3692691349,26543.9476309227,59.4,16.3934426229508,27.7,103
Самарская область,2018,8.36644674835061,1696031.7992135,86716.2108191061,29401.6919240361,57.5,8.33333333333333,26.3,100
Саратовская область,2018,5.65862351495289,807386.945213888,65899.2286591214,22351.754651832,58.4,11.1577181208054,34.1,100.7
Сахалинская область,2018,9.21714285714286,1286626.28108575,488964.326299636,56114.6627661615,55.7,5.98290598290598,36.1,106.4
Свердловская область ,2018,11.191890639481,2528763.98361788,91443.6439670056,38327.5781699597,59.7,16.6666666666667,28.7,100
Смоленская область,2018,6.77016985138004,349585.803970842,78208.709188567,27010.3264914637,55.5,10.7594936708861,34.6,100.1
Ставропольский край,2018,3.79044722719141,818036.555208133,59003.7076539421,24422.8106656436,54.8,7.93650793650794,26.1,97.3
Тамбовская область,2018,3.5494094488189,367471.694110877,108158.161519279,27991.0784577019,61.6,10.9936575052854,32.9,113.5
Тверская область,2018,7.26417322834646,491487.675906388,85397.4124304623,26214.2480337618,52.3,15.6040268456376,39.4,111.2
Томская область,2018,8.22850510677809,638982.546767696,93142.2229042778,28479.3677345099,62.7,17.948717948718,26.5,99.6
Тульская область,2018,6.78519269776876,695669.280069058,108703.835219643,28387.5526568195,45.8,15.3605015673981,33.5,102.8
Тюменская область,2018,26.3666666666667,9259763.11611356,648787.249376559,48123.6209476309,62.1,12.7055306427504,33.2,105.8
Удмуртская Республика,2018,6.5029197080292,709416.396911567,66998.922885095,24859.9756378285,67.3,8.54700854700855,31.4,102
Ульяновская область,2018,4.559450726979,403438.9987723,69631.3028966046,23785.3218875887,52.2,12.2950819672131,42.5,100.9
Хабаровский край ,2018,7.06979560938683,794606.495070017,113169.386725494,40778.4147323998,41.8,13.2850241545894,44.1,100.3
Челябинская область,2018,10.8547756041427,1587279.65674276,76353.627277959,25443.2100517936,51.5,16.6370106761566,33.7,101.1
Чеченская Республика ,2018,1.89094028826356,233558.464281604,53624.1787838097,24202.6631498178,55.2,0.178890876565295,18.9,100.4
Чувашская Республика,2018,4.1699100572363,330349.50184155,47977.5515058508,19262.3859581815,62.7,30.4,32.2,103.3
Чукотский автономный округ,2018,14.382,87039.2329560714,366321.292921542,82228.7488969883,51.6,12.5,51.6,100.4
Ярославская область,2018,7.11293650793651,608906.431363898,69739.8116247842,28227.9196240169,54.8,14.1779788838612,35.1,104.7
Алтайский край,2019,4.54022442813984,663137.934375,52385.2133152174,25270.4470108696,53.4,12.9,30.5,101.8
Амурская область,2019,11.063164556962,417655.658152174,453337.27173913,35159.25,39.5,5.1,37.2,109.9
Архангельская область,2019,8.92403169014085,939551.77826087,175651.618206522,37681.3328804348,51.8,4,38.9,100.2
Астраханская область,2019,4.3441351888668,635336.008695652,99994.410326087,26362.0475543478,52.1,7.2,44.9,103.7
